id,name,Result
✅ UPDATED in human_collection table,5982,constituent_id=214
Q5385009,Erastus Dow Palmer,Already exists
✅ UPDATED in human_collection table,3857,constituent_id=16219
Q112732219,Bartholomew Schaats,Already exists
✅ UPDATED in human_collection table,6515,constituent_id=16604
Q97446617,Gottfried Aust,Already exists
✅ UPDATED in human_collection table,8756,constituent_id=217
Q56006629,Thomas Fletcher,Already exists
✅ UPDATED in human_collection table,4657,constituent_id=16188
Q111547706,Rufus Farnam,Already exists
✅ UPDATED in human_collection table,4540,constituent_id=160
Q7792772,Thomas Northcote,Already exists
✅ UPDATED in human_collection table,5436,constituent_id=16378
Q18954389,John Sadler,Already exists
✅ UPDATED in human_collection table,5999,constituent_id=220
Q23068023,Grueby Faience Company,Already exists
✅ UPDATED in human_collection table,1664,constituent_id=220
Q6132656,James Dixon & Sons,Already exists
✅ UPDATED in human_collection table,4185,constituent_id=16605
Q7692765,Gates Potteries (Teco Pottery),Already exists
✅ UPDATED in human_collection table,1841,constituent_id=223
Q23498273,Charles Louis Hinton,Already exists
✅ UPDATED in human_collection table,2431,constituent_id=225
Q4681845,Adelaide Alsop Robineau,Already exists
✅ UPDATED in human_collection table,2570,constituent_id=16232
Q653307,Sèvres Manufactory,Already exists
✅ UPDATED in human_collection table,5606,constituent_id=16485
Q97045948,Evert Duyckinck,Already exists
✅ UPDATED in human_collection table,7142,constituent_id=228
Q1398,Publius Virgilius Maro,Already exists
✅ UPDATED in human_collection table,8745,constituent_id=229
Q948598,Albert Pinkham Ryder,Already exists
✅ UPDATED in human_collection table,3027,constituent_id=16235
Q259538,Edwin Austin Abbey,Already exists
✅ UPDATED in human_collection table,2909,constituent_id=16156
Q5733455,Herbert Adams,Already exists
✅ UPDATED in human_collection table,2744,constituent_id=230
Q59554779,William Apthorp Adams,Already exists
✅ UPDATED in human_collection table,4451,constituent_id=230
Q3373427,Alfred Thomas Agate,Already exists
✅ UPDATED in human_collection table,3988,constituent_id=230
Q5479973,Francis Alexander,Already exists
✅ UPDATED in human_collection table,4359,constituent_id=230
Q15453845,Henry Alexander,Already exists
✅ UPDATED in human_collection table,2712,constituent_id=230
Q1702146,John White Alexander,Already exists
✅ UPDATED in human_collection table,2807,constituent_id=230
Q468272,Washington Allston,Already exists
✅ UPDATED in human_collection table,4817,constituent_id=16159
Q16058639,Louis Amateis,Already exists
✅ UPDATED in human_collection table,2834,constituent_id=230
Q5423324,Ezra Ames,Already exists
✅ UPDATED in human_collection table,5005,constituent_id=231
Q1581203,Joseph Alexander Ames,Already exists
✅ UPDATED in human_collection table,3870,constituent_id=231
Q21994022,Ambrose Andrews,Already exists
✅ UPDATED in human_collection table,4334,constituent_id=16160
Q2757568,Thomas Anshutz,Already exists
✅ UPDATED in human_collection table,2915,constituent_id=16161
Q18508415,John Woodhouse Audubon,Already exists
✅ UPDATED in human_collection table,4010,constituent_id=231
Q3184555,Joseph Badger,Already exists
✅ UPDATED in human_collection table,6159,constituent_id=231
Q22670109,G. Baker,Already exists
✅ UPDATED in human_collection table,3328,constituent_id=231
Q21995239,Martha Susan Baker,Already exists
✅ UPDATED in human_collection table,2368,constituent_id=232
Q20007054,George Augustus Baker Jr.,Already exists
✅ UPDATED in human_collection table,3710,constituent_id=232
Q27048550,Albertus H. Baldwin,Already exists
✅ UPDATED in human_collection table,2564,constituent_id=232
Q721881,Thomas Ball,Already exists
✅ UPDATED in human_collection table,3802,constituent_id=232
Q339164,George Grey Barnard,Already exists
✅ UPDATED in human_collection table,2614,constituent_id=16284
Q3398515,Paul Wayland Bartlett,Already exists
✅ UPDATED in human_collection table,2566,constituent_id=16285
Q328705,William Henry Bartlett,Already exists
